name,address,building,built_year,floor_number,detail
西武新宿線 鷺ノ宮駅 2階建 築99年,東京都中野区若宮３,"{0: '西武新宿線/鷺ノ宮駅 歩3分', 1: '西武新宿線/都立家政駅 歩6分', 2: '西武新宿線/野方駅 歩18分'}",築99年,2階建,"{0: {'floor': '1階', 'rent-fee': '5.2万円', 'manage-fee': '3000円', 'other-fee': '-/-/-/-', 'room-shape': 'ワンルーム', 'room-size': '10.07m'}}"
松井アパート,東京都大田区田園調布２,"{0: '東急東横線/多摩川駅 歩9分', 1: '東急池上線/御嶽山駅 歩19分', 2: '東急多摩川線/沼部駅 歩18分'}",築90年,2階建,"{0: {'floor': '1階', 'rent-fee': '4.9万円', 'manage-fee': '-', 'other-fee': '-/-/-/-', 'room-shape': '1K', 'room-size': '15m'}}"
パルコート５,東京都八王子市中野上町２,"{0: 'ＪＲ中央線/八王子駅 バス15分 (バス停)浅川橋 歩34分', 1: '京王線/京王八王子駅 バス18分 (バス停)浅川橋 歩35分', 2: None}",築38年,2階建,"{0: {'floor': '1階', 'rent-fee': '4.2万円', 'manage-fee': '3000円', 'other-fee': '-/-/-/-', 'room-shape': 'ワンルーム', 'room-size': '24.75m'}}"
井上ビル,東京都八王子市本郷町,"{0: 'ＪＲ中央線/八王子駅 歩20分', 1: 'ＪＲ中央線/西八王子駅 歩19分', 2: None}",築54年,4階建,"{0: {'floor': '3階', 'rent-fee': '4.2万円', 'manage-fee': '-', 'other-fee': '-/-/-/-', 'room-shape': '1K', 'room-size': '17m'}}"
サン・リバティー,東京都杉並区高円寺南１,"{0: 'ＪＲ総武線/中野駅 歩18分', 1: 'ＪＲ総武線/高円寺駅 歩10分', 2: '東京メトロ丸ノ内線/東高円寺駅 歩6分'}",築55年,2階建,"{0: {'floor': '2階', 'rent-fee': '4万円', 'manage-fee': '2000円', 'other-fee': '-/-/-/-', 'room-shape': 'ワンルーム', 'room-size': '8.43m'}}"
リプロンビギン三軒茶屋II,東京都世田谷区若林１,"{0: '東急田園都市線/三軒茶屋駅 歩12分', 1: '東急世田谷線/若林駅 歩4分', 2: '東急世田谷線/西太子堂駅 歩6分'}",築59年,2階建,"{0: {'floor': '2階', 'rent-fee': '5.6万円', 'manage-fee': '-', 'other-fee': '-/-/-/-', 'room-shape': 'ワンルーム', 'room-size': '10.36m'}}"
ＪＲ総武線快速 新小岩駅 2階建 築49年,東京都江戸川区東小松川１,"{0: 'ＪＲ総武線快速/新小岩駅 歩25分', 1: '都営新宿線/船堀駅 歩25分', 2: '都営新宿線/一之江駅 歩32分'}",築49年,2階建,"{0: {'floor': '2階', 'rent-fee': '4.5万円', 'manage-fee': '5000円', 'other-fee': '-/-/-/-', 'room-shape': '1K', 'room-size': '16m'}}"
第二佐渡荘,東京都杉並区上荻３,"{0: 'ＪＲ総武線/荻窪駅 歩16分', 1: 'ＪＲ総武線/西荻窪駅 歩16分', 2: '西武新宿線/上井草駅 歩21分'}",築55年,2階建,"{0: {'floor': '2階', 'rent-fee': '2.8万円', 'manage-fee': '1000円', 'other-fee': '-/-/-/-', 'room-shape': '1K', 'room-size': '21.17m'}}"
クレヴァービル江戸川,東京都江戸川区北小岩４,"{0: 'ＪＲ総武線/小岩駅 歩20分', 1: '京成本線/江戸川駅 歩2分', 2: '京成本線/京成小岩駅 歩18分'}",築52年,4階建,"{0: {'floor': '1階', 'rent-fee': '4.5万円', 'manage-fee': '2000円', 'other-fee': '-/-/-/-', 'room-shape': 'ワンルーム', 'room-size': '15m'}}"
都営三田線 板橋本町駅 2階建 築65年,東京都板橋区富士見町,"{0: '都営三田線/板橋本町駅 歩6分', 1: '都営三田線/本蓮沼駅 歩12分', 2: '東武東上線/下板橋駅 歩15分'}",築65年,2階建,"{0: {'floor': '2階', 'rent-fee': '5.8万円', 'manage-fee': '2000円', 'other-fee': '-/-/-/-', 'room-shape': '1DK', 'room-size': '26.4m'}}"
第一板橋荘,東京都板橋区富士見町,"{0: '都営三田線/板橋本町駅 歩6分', 1: '都営三田線/本蓮沼駅 歩12分', 2: '東武東上線/下板橋駅 歩15分'}",築65年,2階建,"{0: {'floor': '2階', 'rent-fee': '5.8万円', 'manage-fee': '2000円', 'other-fee': '-/-/-/-', 'room-shape': '1DK', 'room-size': '26.4m'}}"
湖マンション,東京都北区上十条５,"{0: 'ＪＲ埼京線/十条駅 歩11分', 1: 'ＪＲ京浜東北線/東十条駅 歩12分', 2: 'ＪＲ京浜東北線/赤羽駅 歩19分'}",築61年,2階建,"{0: {'floor': '2階', 'rent-fee': '5.5万円', 'manage-fee': '1000円', 'other-fee': '-/-/-/-', 'room-shape': '1K', 'room-size': '17m'}}"
コーポタミヤ,東京都練馬区西大泉３,"{0: '西武池袋線/大泉学園駅 歩19分', 1: '西武池袋線/保谷駅 歩28分', 2: None}",築49年,2階建,"{0: {'floor': '2階', 'rent-fee': '3.9万円', 'manage-fee': '-', 'other-fee': '-/-/-/-', 'room-shape': 'ワンルーム', 'room-size': '19.81m'}}"
ＪＲ京浜東北線 王子駅 2階建 築60年,東京都北区堀船１,"{0: 'ＪＲ京浜東北線/王子駅 歩7分', 1: '都電荒川線/栄町駅 歩3分', 2: '東京メトロ南北線/王子駅 歩7分'}",築60年,2階建,"{0: {'floor': '1階', 'rent-fee': '3.5万円', 'manage-fee': '2000円', 'other-fee': '-/-/-/-', 'room-shape': 'ワンルーム', 'room-size': '8.96m'}}"
